	mESC_DMSO_rep1	mESC_DMSO_rep2	mESC_DMSO_rep3	2_NPC_DMSO	4_NPC_DMSO	5_NPC_DMSO
ENSMUSG00000000001.4	20110	12401	17546	14824	14854	12540
ENSMUSG00000000003.15	0	0	0	0	0	0
ENSMUSG00000000028.15	4601	3898	3437	1228	1764	853
ENSMUSG00000000031.16	54215	39027	54531	37673	37950	6254
ENSMUSG00000000037.16	739	375	1004	497	275	114
ENSMUSG00000000049.11	1	1	0	2	5	3
ENSMUSG00000000056.7	1340	1293	1189	9138	7905	10178
ENSMUSG00000000058.6	572	348	603	24	26	9
ENSMUSG00000000078.7	16274	8129	19122	7562	9582	5477
ENSMUSG00000000085.16	2502	1859	2062	5058	4992	4863
ENSMUSG00000000088.7	23979	20828	15122	9171	11103	12285
ENSMUSG00000000093.6	46	41	51	1563	1393	358
ENSMUSG00000000094.12	166	80	80	59	46	13
ENSMUSG00000000103.12	1	4	0	11	4	1
ENSMUSG00000000120.6	297	423	212	3759	4325	5303
ENSMUSG00000000125.5	1670	428	3125	653	522	225
ENSMUSG00000000126.11	2846	915	3187	186	210	111
ENSMUSG00000000127.14	1922	1504	1491	2682	2301	1780
ENSMUSG00000000131.15	12103	9578	10145	11508	11759	9646
ENSMUSG00000000134.17	9229	8050	7263	3972	4338	3278
ENSMUSG00000000142.15	703	398	860	4408	3849	2529
ENSMUSG00000000148.17	2204	1690	1770	2021	1979	1840
ENSMUSG00000000149.10	5941	4339	5020	8774	8007	7556
ENSMUSG00000000154.16	1009	775	686	57	131	54
ENSMUSG00000000157.15	0	0	0	7	3	1
ENSMUSG00000000159.15	2	1	0	1	3	0
ENSMUSG00000000167.14	188	82	219	183	190	176
ENSMUSG00000000168.9	8952	6242	7708	4620	4736	4189
ENSMUSG00000000171.5	15164	11563	12610	7310	7498	6044
ENSMUSG00000000182.9	19	12	16	7	12	5
ENSMUSG00000000183.6	1	2	0	0	1	1
ENSMUSG00000000184.12	1198	491	788	17052	23815	10566
ENSMUSG00000000194.13	11922	7702	11625	7211	7732	5744
ENSMUSG00000000197.8	48	70	35	1719	1037	814
ENSMUSG00000000202.9	99	95	118	2005	2426	3135
ENSMUSG00000000204.16	6	7	4	13	11	0
ENSMUSG00000000214.11	3	8	3	101	121	74
ENSMUSG00000000215.11	4	1	3	2	1	3
ENSMUSG00000000216.8	15	7	6	1	7	1
ENSMUSG00000000223.13	93	93	91	1746	1074	865
ENSMUSG00000000244.17	57	72	20	6	8	5
ENSMUSG00000000247.11	45	39	44	73	102	80
ENSMUSG00000000248.16	0	0	0	0	2	0
ENSMUSG00000000253.13	932	650	683	622	448	301
ENSMUSG00000000263.15	0	0	0	646	381	547
ENSMUSG00000000266.11	382	174	571	1811	1335	1378
ENSMUSG00000000275.16	6428	6917	4585	1940	2661	475
ENSMUSG00000000276.11	3945	3841	2732	6066	4710	3896
ENSMUSG00000000278.10	34152	25946	30170	3566	5066	1596
ENSMUSG00000000282.12	3582	3093	3275	6790	5963	5887
ENSMUSG00000000290.13	136	37	139	4	25	4
ENSMUSG00000000295.13	1948	1864	1332	1244	1084	651
ENSMUSG00000000296.8	1166	951	858	630	271	95
ENSMUSG00000000301.16	391	350	258	162	201	93
ENSMUSG00000000303.12	94685	63340	105126	4997	9389	1225
ENSMUSG00000000305.12	289	326	258	9679	5436	4692
ENSMUSG00000000308.14	1984	1356	1673	1147	913	771
ENSMUSG00000000317.11	304	462	240	222	215	96
ENSMUSG00000000318.16	0	0	0	4	2	0
ENSMUSG00000000320.10	177	105	158	12	6	7
ENSMUSG00000000325.16	7022	4565	5935	12090	12220	14066
ENSMUSG00000000326.13	2562	1710	2525	1865	2209	1534
ENSMUSG00000000339.14	4536	2960	3687	4683	4346	4389
ENSMUSG00000000340.10	3530	3142	2542	2092	1921	1234
ENSMUSG00000000346.9	8131	6066	6236	8785	8981	8772
ENSMUSG00000000355.13	4396	2910	3802	5213	4238	4471
ENSMUSG00000000359.3	79	45	91	15	9	0
ENSMUSG00000000365.9	7060	5718	3506	1200	641	153
ENSMUSG00000000374.8	3626	2778	2818	9278	7632	7329
ENSMUSG00000000378.15	3672	2473	3233	4078	4220	3803
ENSMUSG00000000381.10	0	0	0	0	0	0
ENSMUSG00000000384.15	8128	6700	6177	4492	4415	3015
ENSMUSG00000000385.8	1524	1055	2916	567	3583	118
ENSMUSG00000000386.15	11	11	5	3	2	0
ENSMUSG00000000392.17	31	8	19	283	503	269
ENSMUSG00000000394.15	0	0	0	0	1	0
ENSMUSG00000000399.10	7914	6381	6343	6005	5752	4759
ENSMUSG00000000402.2	92	126	78	562	99	79
ENSMUSG00000000409.14	1067	1173	822	620	527	330
ENSMUSG00000000411.7	27	15	24	0	0	0
ENSMUSG00000000416.16	50	61	62	6124	3452	3371
ENSMUSG00000000420.15	17585	12951	14152	6694	7668	5253
ENSMUSG00000000435.1	0	1	0	0	0	0
ENSMUSG00000000439.9	4157	3209	3008	3628	2741	2677
ENSMUSG00000000440.12	131	147	127	111	670	146
ENSMUSG00000000441.17	10826	8749	8484	19715	19648	17934
ENSMUSG00000000486.13	12083	14325	4473	686	915	724
ENSMUSG00000000489.7	4173	2135	6187	41	79	38
ENSMUSG00000000530.16	423	348	451	51	297	69
ENSMUSG00000000531.5	1155	1081	625	373	617	500
ENSMUSG00000000532.11	6745	5016	5978	9397	8012	8958
ENSMUSG00000000538.18	1119	861	1093	9563	6624	7190
ENSMUSG00000000544.14	8401	9843	3598	457	259	57
ENSMUSG00000000552.10	3175	1863	2621	3796	4002	4422
ENSMUSG00000000555.8	16872	9037	18772	2701	6653	1158
ENSMUSG00000000560.9	6	26	15	2442	1438	1111
ENSMUSG00000000561.14	11475	9888	7744	5122	4819	3912
ENSMUSG00000000562.5	0	0	0	0	0	0
ENSMUSG00000000563.17	29719	25429	22053	23631	21236	21206
ENSMUSG00000000567.5	37	31	47	2046	2612	3901
ENSMUSG00000000568.15	28184	25074	20971	30486	30145	28689
ENSMUSG00000000579.14	883	715	710	932	763	827
ENSMUSG00000000581.8	5021	3265	4260	6280	4769	4869
ENSMUSG00000000594.7	8501	9284	6055	2127	5066	1244
ENSMUSG00000000600.15	6083	4071	5496	6775	8046	6300
ENSMUSG00000000605.9	2789	2113	2986	24453	17038	16306
ENSMUSG00000000606.16	0	0	0	0	0	0
ENSMUSG00000000617.14	4	20	22	4	11	2
