baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ENSMUSG00000030000.10	12132.4998309927	10.2577943248379	0.28830586007048	35.5795554149689	2.90181981225185e-277	7.66863921783797e-273	Add2
ENSMUSG00000042453.14	23676.8337850804	9.31257850721671	0.271403839625627	34.3126262327845	5.08676557556579e-258	6.72139769327386e-254	Reln
ENSMUSG00000041592.16	1585.80772523552	4.43861158885908	0.143386857703487	30.9554980138959	2.14268140722318e-210	1.8874880516229e-206	Sdk2
ENSMUSG00000050334.12	8336.29011115067	10.0887507943264	0.327658803780725	30.7904157554027	3.5211980970159e-208	2.32636755274598e-204	RP23-88A13.2
ENSMUSG00000020160.18	8152.61186834691	6.23349338358874	0.206480845778876	30.1892088831537	3.2820951329524e-200	1.73471856157066e-196	Meis1
ENSMUSG00000033152.13	12321.1311835391	6.30623547835824	0.208967835382807	30.178019822074	4.60240122905614e-200	2.02712762133778e-196	Podxl2
ENSMUSG00000054423.14	9896.13724824643	9.7188500371481	0.326708066680075	29.7478116653458	1.85092372031389e-194	6.98776587953358e-191	Cadps
ENSMUSG00000027797.15	18779.9586906837	9.25457465179315	0.314574291618246	29.4193610170284	3.10548502502659e-190	1.02585815945472e-186	Dclk1
ENSMUSG00000005338.13	9405.5632441115	8.5166407209546	0.291655152782105	29.2010637895959	1.87983376783585e-187	5.51981855362199e-184	Cadm3
ENSMUSG00000032181.7	6098.83796846335	8.25990019394923	0.282985664074926	29.1884050768108	2.72150134699662e-187	7.19211160970796e-184	Scg3
ENSMUSG00000075318.12	3176.05941792757	6.92083941423941	0.239998718673805	28.8369848492645	7.37853684416493e-183	1.77265993800679e-179	Scn2a1
ENSMUSG00000002341.8	18157.0157209228	6.15985099758595	0.213836996870758	28.8062921184257	1.78901900877881e-182	3.93986711208313e-179	Ncan
ENSMUSG00000031285.14	75535.7379543704	15.467267582651	0.541437757210593	28.5670280224564	1.72619651671948e-179	3.50909194979583e-176	Dcx
ENSMUSG00000057777.4	12413.4979459055	11.6265945902621	0.409251344753026	28.4094230582882	1.54674816726185e-177	2.91970812973064e-174	Mab21l2
ENSMUSG00000033981.14	7645.83229028914	11.547982030247	0.408374085876	28.2779501188855	6.45351229810907e-176	1.13697979668086e-172	Gria2
ENSMUSG00000010476.14	15292.1009728716	11.5116749176041	0.407992503468205	28.2154079296734	3.78428590429469e-175	6.25045772454974e-172	Ebf3
ENSMUSG00000022454.17	10312.2395089074	8.63190680535638	0.307879931111831	28.0366010677748	5.81913147709328e-173	9.0460110320673e-170	Nell2
ENSMUSG00000097156.7	7334.68547482654	8.3362908469752	0.297574871597033	28.014095418191	1.0942789006917e-172	1.60658380603219e-169	RP23-168E14.7
ENSMUSG00000027692.16	6092.51848153442	7.46571635204584	0.266907196495592	27.9712066593497	3.64076536930657e-172	5.06392139024552e-169	Tnik
ENSMUSG00000055639.16	3703.03756432766	8.26775377550917	0.295760335203185	27.9542345319202	5.85552813832315e-172	7.73720210557329e-169	Dach1
ENSMUSG00000010505.16	14508.0403510177	11.3760999894769	0.408276299764689	27.8637285486166	7.34460145445474e-171	9.24265631604168e-168	Myt1
ENSMUSG00000020598.16	13350.6602739197	7.57666409483586	0.272812588869754	27.7724137519662	9.34513707593765e-170	1.12256335229911e-166	Nrcam
ENSMUSG00000006362.16	3829.15870900659	6.70227378522705	0.242050995082277	27.6895113897336	9.33914887249431e-169	1.0730682054496e-165	Cbfa2t3
ENSMUSG00000068748.7	4258.80740077949	6.30514823856766	0.228683383196602	27.5715189727932	2.44365644471369e-167	2.69077120268536e-164	Ptprz1
ENSMUSG00000032368.14	16252.7251279347	10.9670091859886	0.398862115447344	27.4957404106644	1.9741032457698e-166	2.08678505903834e-163	Zic1
ENSMUSG00000026872.17	4248.4767866385	6.61604832042211	0.240749731172829	27.4810205942559	2.96024560946465e-166	3.00886195082009e-163	Zeb2
ENSMUSG00000046743.6	13249.8167543594	9.48249383775284	0.345155543400022	27.4731031243007	3.68072021205892e-166	3.60260714978078e-163	Fat4
ENSMUSG00000015222.17	67996.6024582766	7.38733112340607	0.269425407245968	27.4188362520017	1.63542431911514e-165	1.54354851718771e-162	Map2
ENSMUSG00000028137.9	12896.4709210534	9.69347064891035	0.355430709761506	27.2724623469218	9.00108564363195e-164	8.20247207945729e-161	Celf3
ENSMUSG00000040447.15	1766.27271882511	4.67925356675576	0.17342068576427	26.9820958562939	2.39775460827197e-160	2.11218203442678e-157	Spns2
ENSMUSG00000029005.4	4322.490402963	6.84666435066548	0.253994257315137	26.9559809069645	4.85395325271895e-160	4.13791685837432e-157	Draxin
ENSMUSG00000000861.15	11695.1775356933	9.00836424953635	0.334322287102576	26.9451502249756	6.50185327035396e-160	5.36951488673888e-157	Bcl11a
ENSMUSG00000045515.3	6725.35057490345	7.91964387844118	0.294704075151677	26.8732078929181	4.51803628204494e-159	3.61812560077581e-156	Pou3f3
ENSMUSG00000033578.7	3693.29654580648	7.65685883336692	0.2853393659837	26.8342182894047	1.28911496448127e-158	1.00198356371608e-155	Tmem35
ENSMUSG00000019874.11	25703.2662705826	12.7801317014223	0.477194363352809	26.7818161380366	5.26300945267798e-158	3.97387288016917e-155	Fabp7
ENSMUSG00000061603.8	7603.48082280734	11.4574915596533	0.430125048755308	26.6375827048644	2.49265767779527e-156	1.82981845697488e-153	Akap6
ENSMUSG00000039385.5	1995.47208500791	6.7490179800396	0.25345753761209	26.6278053658392	3.2352702066412e-156	2.31076988515964e-153	Cdh6
ENSMUSG00000027200.17	5477.36481332007	8.60797150388888	0.323674854468558	26.5945018126982	7.85858368173955e-156	5.4652313409824e-153	Sema6d
ENSMUSG00000020875.9	12459.1855201548	8.31390449231104	0.313128580147097	26.551088017598	2.49496911786436e-155	1.69062945840517e-152	Hoxb9
ENSMUSG00000027577.14	5226.82308542981	6.4824084071428	0.244666255522122	26.4949017726585	1.10963503516697e-154	7.33108126858937e-152	Chrna4
ENSMUSG00000031824.15	2508.95486296758	6.792104448722	0.256659635454321	26.4634695545292	2.55362621873462e-154	1.64596780689024e-151	AC163442.1
ENSMUSG00000055435.6	1562.01823371344	6.0020000809146	0.229178964537821	26.1891404083209	3.53326533018228e-151	2.2231810209697e-148	Maf
ENSMUSG00000005089.15	11918.3217958747	10.4504932705392	0.399988900464089	26.1269581691241	1.80141727136453e-150	1.10711754024071e-147	Slc1a2
ENSMUSG00000029712.14	5149.47073761253	10.4077209451139	0.401770856760413	25.9046189388504	5.90769208267966e-148	3.5482404242949e-145	Actl6b
ENSMUSG00000025529.14	2712.96604130118	6.80692866257872	0.263102683414754	25.8717568906293	1.38496470440172e-147	8.13343605404981e-145	Zfp711
ENSMUSG00000024304.14	17306.1015590995	7.5533899195132	0.292855126863955	25.7922406904698	1.08352649923154e-146	6.2248597380852e-144	Cdh2
ENSMUSG00000036862.15	11503.1728117437	7.4260512090074	0.28814445930254	25.7719729436489	1.82859878332525e-146	1.02817829887099e-143	Dchs1
ENSMUSG00000106847.1	8022.55103473386	7.13292292239147	0.27860952059031	25.6018635231073	1.4543645747488e-144	8.00718596185136e-142	Peg13
ENSMUSG00000025892.16	2354.5176126677	6.39527228924855	0.250511263945886	25.5288811709082	9.42377887455405e-144	5.0824939656702e-141	Gria4
ENSMUSG00000063063.12	11248.0999744271	8.79314553152808	0.344970256526518	25.4895758842101	2.5723882228078e-143	1.35961007128284e-140	Ctnna2
ENSMUSG00000046844.6	1024.39184562939	5.46861687777011	0.214847228356684	25.4535137343789	6.45467615438199e-143	3.3446613084677e-140	Vat1l
ENSMUSG00000026247.13	1230.30985435052	4.66430863744097	0.183393363133804	25.4333556991257	1.07885387847386e-142	5.48285989354396e-140	Ecel1
ENSMUSG00000027217.13	3602.90806316205	5.12641402667864	0.20405083752828	25.1232197268887	2.77342003051157e-139	1.38289002162885e-136	Tspan18
ENSMUSG00000033419.15	6611.40710498974	5.73203187301381	0.228815039357359	25.050940222778	1.70514456585103e-138	8.34478804476761e-136	Snap91
ENSMUSG00000041216.15	2620.85181071769	8.84269805742465	0.353642305000985	25.0046386769253	5.44294014637743e-138	2.6152832590603e-135	Clvs1
ENSMUSG00000029126.7	18942.3595368542	8.14378134919554	0.325999311023193	24.9809771794768	9.84171878413795e-138	4.64441254122167e-135	Nsg1
ENSMUSG00000032589.14	5349.54977882167	6.68585267565619	0.269677982355772	24.7919856758491	1.09393193586614e-135	5.07181390686572e-133	Bsn
ENSMUSG00000048385.9	7571.95138710707	10.2420808335076	0.413420322046491	24.7740139691435	1.70897557268248e-135	7.78674094125516e-133	Scrt1
ENSMUSG00000028698.13	12632.8097681556	5.77479253838418	0.233310899609724	24.7514905992137	2.98781205296789e-135	1.33828659531835e-132	Pik3r3
ENSMUSG00000041757.16	8466.2689011291	5.20654753226276	0.210639113765837	24.7178571879616	6.87442623022525e-135	3.02784103310271e-132	Plekha6
ENSMUSG00000069227.4	6882.58668021312	9.39632627355655	0.381088721134377	24.6565320684032	3.13191379413463e-134	1.35683747274747e-131	Gprin1
ENSMUSG00000059146.12	6021.67280932284	11.1015825939631	0.450468654835195	24.6445173816248	4.21351997404105e-134	1.7959789089352e-131	Ntrk3
ENSMUSG00000052951.5	6816.61696161801	7.60225032365644	0.308930098820424	24.608318686602	1.02903616806425e-133	4.3165617164181e-131	RP23-65G6.4
ENSMUSG00000048763.11	12839.1695153078	10.0566883574517	0.409076755143386	24.5838665507326	1.87956523295218e-133	7.76113600175427e-131	Hoxb3
ENSMUSG00000051515.9	1672.74560991393	5.53157134419921	0.225094287457127	24.5744634690153	2.36917476749651e-133	9.63233562778927e-131	Fam181b
ENSMUSG00000047085.14	6418.16985963798	9.4797584532605	0.386677173276672	24.5159505355068	9.98545762400506e-133	3.99826800953912e-130	Lrrc4b
ENSMUSG00000015709.9	10803.5450438727	6.27178811967204	0.256126688917646	24.4870542237347	2.02936559198003e-132	8.00448425362034e-130	Arnt2
ENSMUSG00000025582.4	1710.35132113512	6.18538106009586	0.253320739563077	24.4171917023624	1.12330219598184e-131	4.36551575488413e-129	Nptx1
ENSMUSG00000037126.16	3802.80290231161	4.73231404395503	0.193825464370689	24.4153370627532	1.17542738585133e-131	4.50188688781059e-129	Psd
