baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000030000.10	12132.4998309927	10.2438054603036	0.288105320953194	2.90181981225185e-277	7.66863921783797e-273	Add2
ENSMUSG00000042453.14	23676.8337850804	9.29649813794581	0.271801960075494	5.08676557556579e-258	6.72139769327386e-254	Reln
ENSMUSG00000041592.16	1585.80772523552	4.43040902129785	0.143512894782173	2.14268140722318e-210	1.8874880516229e-206	Sdk2
ENSMUSG00000050334.12	8336.29011115067	10.066199516287	0.327300223025082	3.5211980970159e-208	2.32636755274598e-204	RP23-88A13.2
ENSMUSG00000020160.18	8152.61186834691	6.22019285167887	0.206648398216891	3.2820951329524e-200	1.73471856157066e-196	Meis1
ENSMUSG00000033152.13	12321.1311835391	6.29127312312187	0.209234338967692	4.60240122905614e-200	2.02712762133778e-196	Podxl2
ENSMUSG00000054423.14	9896.13724824643	9.69796990221363	0.326815066987557	1.85092372031389e-194	6.98776587953358e-191	Cadps
ENSMUSG00000027797.15	18779.9586906837	9.23333512557448	0.314822553509461	3.10548502502659e-190	1.02585815945472e-186	Dclk1
ENSMUSG00000005338.13	9405.5632441115	8.49548523516149	0.292155197895831	1.87983376783585e-187	5.51981855362199e-184	Cadm3
ENSMUSG00000032181.7	6098.83796846335	8.24127290426243	0.28336269109287	2.72150134699662e-187	7.19211160970796e-184	Scg3
ENSMUSG00000075318.12	3176.05941792757	6.90540915994533	0.24026760333497	7.37853684416493e-183	1.77265993800679e-179	Scn2a1
ENSMUSG00000002341.8	18157.0157209228	6.14461414115567	0.214139389956776	1.78901900877881e-182	3.93986711208313e-179	Ncan
ENSMUSG00000031285.14	75535.7379543704	15.427619677582	0.540201994375239	1.72619651671948e-179	3.50909194979583e-176	Dcx
ENSMUSG00000057777.4	12413.4979459055	11.5974207020756	0.408964445774627	1.54674816726185e-177	2.91970812973064e-174	Mab21l2
ENSMUSG00000033981.14	7645.83229028914	11.5180294053181	0.406085256457201	6.45351229810907e-176	1.13697979668086e-172	Gria2
ENSMUSG00000010476.14	15292.1009728716	11.4865630517064	0.407606504620626	3.78428590429469e-175	6.25045772454974e-172	Ebf3
ENSMUSG00000022454.17	10312.2395089074	8.61101331142575	0.308646259799276	5.81913147709328e-173	9.0460110320673e-170	Nell2
ENSMUSG00000097156.7	7334.68547482654	8.31659605650592	0.297854891412843	1.0942789006917e-172	1.60658380603219e-169	RP23-168E14.7
ENSMUSG00000027692.16	6092.51848153442	7.44743129162238	0.267241482842685	3.64076536930657e-172	5.06392139024552e-169	Tnik
ENSMUSG00000055639.16	3703.03756432766	8.24772898415759	0.296141676075438	5.85552813832315e-172	7.73720210557329e-169	Dach1
ENSMUSG00000010505.16	14508.0403510177	11.3482116160779	0.406871346798199	7.34460145445474e-171	9.24265631604168e-168	Myt1
ENSMUSG00000020598.16	13350.6602739197	7.55824767781431	0.273242801583632	9.34513707593765e-170	1.12256335229911e-166	Nrcam
ENSMUSG00000006362.16	3829.15870900659	6.68663853069449	0.24249854636905	9.33914887249431e-169	1.0730682054496e-165	Cbfa2t3
ENSMUSG00000068748.7	4258.80740077949	6.28950466765953	0.229211330389929	2.44365644471369e-167	2.69077120268536e-164	Ptprz1
ENSMUSG00000032368.14	16252.7251279347	10.9390968374823	0.399050080562011	1.9741032457698e-166	2.08678505903834e-163	Zic1
ENSMUSG00000026872.17	4248.4767866385	6.60033681477783	0.240817163088294	2.96024560946465e-166	3.00886195082009e-163	Zeb2
ENSMUSG00000046743.6	13249.8167543594	9.46076278649596	0.344873273624745	3.68072021205892e-166	3.60260714978078e-163	Fat4
ENSMUSG00000015222.17	67996.6024582766	7.36841817287757	0.269817937608479	1.63542431911514e-165	1.54354851718771e-162	Map2
ENSMUSG00000028137.9	12896.4709210534	9.67186463310757	0.356191686541914	9.00108564363195e-164	8.20247207945729e-161	Celf3
ENSMUSG00000040447.15	1766.27271882511	4.66726239456331	0.173567200551223	2.39775460827197e-160	2.11218203442678e-157	Spns2
ENSMUSG00000029005.4	4322.490402963	6.82909754649061	0.25421218706441	4.85395325271895e-160	4.13791685837432e-157	Draxin
ENSMUSG00000000861.15	11695.1775356933	8.98484953013437	0.334595788738344	6.50185327035396e-160	5.36951488673888e-157	Bcl11a
ENSMUSG00000045515.3	6725.35057490345	7.89933057476173	0.295268589517705	4.51803628204494e-159	3.61812560077581e-156	Pou3f3
ENSMUSG00000033578.7	3693.29654580648	7.6365853312333	0.285816053493956	1.28911496448127e-158	1.00198356371608e-155	Tmem35
