baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ENSMUSG00000030000.10	12132.4998309927	10.2577943248379	0.28830586007048	32.1110168297472	3.09433211408942e-226	7.85991300299853e-222	Add2
ENSMUSG00000042453.14	23676.8337850804	9.31257850721671	0.271403839625627	30.6280799810461	5.17643049422853e-206	6.57432554919495e-202	Reln
ENSMUSG00000050334.12	8336.29011115067	10.0887507943264	0.327658803780725	27.7384605249575	2.40098199622543e-169	2.03291145620407e-165	RP23-88A13.2
ENSMUSG00000031285.14	75535.7379543704	15.467267582651	0.541437757210593	26.7200936580119	2.74987123236932e-157	1.74623697933533e-153	Dcx
ENSMUSG00000054423.14	9896.13724824643	9.7188500371481	0.326708066680075	26.6869750898619	6.6670246864143e-157	3.38698188119219e-153	Cadps
ENSMUSG00000027797.15	18779.9586906837	9.25457465179315	0.314574291618246	26.2404617024793	9.18413902020815e-152	3.88810525420512e-148	Dclk1
ENSMUSG00000057777.4	12413.4979459055	11.6265945902621	0.409251344753026	25.9659368906288	1.20153491222056e-148	4.36002690075921e-145	Mab21l2
ENSMUSG00000033981.14	7645.83229028914	11.547982030247	0.408374085876	25.8292149160753	4.1663742512312e-147	1.32287590444404e-143	Gria2
ENSMUSG00000005338.13	9405.5632441115	8.5166407209546	0.291655152782105	25.7723570087934	1.81056134641953e-146	5.11000764004473e-143	Cadm3
ENSMUSG00000010476.14	15292.1009728716	11.5116749176041	0.407992503468205	25.7643825027371	2.22428495988195e-146	5.64990622659614e-143	Ebf3
ENSMUSG00000032181.7	6098.83796846335	8.25990019394923	0.282985664074926	25.654657163223	3.75125808756146e-145	8.66233697110441e-142	Scg3
ENSMUSG00000010505.16	14508.0403510177	11.3760999894769	0.408276299764689	25.4144068501091	1.74786592114733e-142	3.69979518858861e-139	Myt1
ENSMUSG00000033152.13	12321.1311835391	6.30623547835824	0.208967835382807	25.3925943609349	3.04458667350919e-142	5.94888816106208e-139	Podxl2
ENSMUSG00000020160.18	8152.61186834691	6.23349338358874	0.206480845778876	25.3461446452684	9.91045681958506e-142	1.79811081195914e-138	Meis1
ENSMUSG00000032368.14	16252.7251279347	10.9670091859886	0.398862115447344	24.9886083435378	8.13082874381827e-138	1.37687453947819e-134	Zic1
ENSMUSG00000022454.17	10312.2395089074	8.63190680535638	0.307879931111831	24.7885816324425	1.19041568133963e-135	1.88985929510674e-132	Nell2
ENSMUSG00000019874.11	25703.2662705826	12.7801317014223	0.477194363352809	24.6862339669189	1.50329198737035e-134	2.2461835159526e-131	Fabp7
ENSMUSG00000075318.12	3176.05941792757	6.92083941423941	0.239998718673805	24.6702959372327	2.22915816566313e-134	3.14571369811161e-131	Scn2a1
ENSMUSG00000097156.7	7334.68547482654	8.3362908469752	0.297574871597033	24.6535966145347	3.36738584559399e-134	4.5018404138912e-131	RP23-168E14.7
ENSMUSG00000046743.6	13249.8167543594	9.48249383775284	0.345155543400022	24.575858623606	2.28919210314586e-133	2.9073884306004e-130	Fat4
ENSMUSG00000055639.16	3703.03756432766	8.26775377550917	0.295760335203185	24.5731185370624	2.44891806874335e-133	2.96214132686427e-130	Dach1
ENSMUSG00000028137.9	12896.4709210534	9.69347064891035	0.355430709761506	24.4589744503047	4.0392680626624e-132	4.66370218453126e-129	Celf3
ENSMUSG00000061603.8	7603.48082280734	11.4574915596533	0.430125048755308	24.3126774176838	1.43971699426138e-130	1.59001092918405e-127	Akap6
ENSMUSG00000027692.16	6092.51848153442	7.46571635204584	0.266907196495592	24.2245860618922	1.22548387761195e-129	1.29702149896755e-126	Tnik
ENSMUSG00000002341.8	18157.0157209228	6.15985099758595	0.213836996870758	24.1298328778183	1.21594806755195e-128	1.23545187455548e-125	Ncan
ENSMUSG00000020598.16	13350.6602739197	7.57666409483586	0.272812588869754	24.1068937547295	2.11642013050193e-128	2.06766106672614e-125	Nrcam
ENSMUSG00000041592.16	1585.80772523552	4.43861158885908	0.143386857703487	23.9813581518737	4.35244585174862e-127	4.09468433630618e-124	Sdk2
ENSMUSG00000000861.15	11695.1775356933	9.00836424953635	0.334322287102576	23.9540244802143	8.38965549846907e-127	7.61091568987903e-124	Bcl11a
ENSMUSG00000015222.17	67996.6024582766	7.38733112340607	0.269425407245968	23.7072338080382	3.03660807958322e-124	2.6597545458446e-121	Map2
ENSMUSG00000005089.15	11918.3217958747	10.4504932705392	0.399988900464089	23.6268887950996	2.0402435220606e-123	1.72747419012871e-120	Slc1a2
ENSMUSG00000006362.16	3829.15870900659	6.70227378522705	0.242050995082277	23.5581505595082	1.03571855667477e-122	8.48654421228894e-120	Cbfa2t3
ENSMUSG00000027200.17	5477.36481332007	8.60797150388888	0.323674854468558	23.5049816161358	3.62732453672764e-122	2.87930220491934e-119	Sema6d
ENSMUSG00000045515.3	6725.35057490345	7.91964387844118	0.294704075151677	23.4799735120046	6.53425508365552e-122	5.02959434484648e-119	Pou3f3
ENSMUSG00000029712.14	5149.47073761253	10.4077209451139	0.401770856760413	23.4156380106086	2.96161131771848e-121	2.21258497298139e-118	Actl6b
ENSMUSG00000020875.9	12459.1855201548	8.31390449231104	0.313128580147097	23.3575117572316	1.15603820273504e-120	8.3898646821922e-118	Hoxb9
ENSMUSG00000033578.7	3693.29654580648	7.65685883336692	0.2853393659837	23.3296194880702	2.21952752350238e-120	1.56606162845789e-117	Tmem35
ENSMUSG00000026872.17	4248.4767866385	6.61604832042211	0.240749731172829	23.3273295594688	2.3415490318732e-120	1.60750505293543e-117	Zeb2
ENSMUSG00000068748.7	4258.80740077949	6.30514823856766	0.228683383196602	23.198660805218	4.69716443272713e-119	3.13980720409742e-116	Ptprz1
ENSMUSG00000029005.4	4322.490402963	6.84666435066548	0.253994257315137	23.0188840191429	3.01608738830414e-117	1.9644009166747e-114	Draxin
ENSMUSG00000039385.5	1995.47208500791	6.7490179800396	0.25345753761209	22.6823713123826	6.68858757142232e-114	4.24742032254246e-111	Cdh6
ENSMUSG00000063063.12	11248.0999744271	8.79314553152808	0.344970256526518	22.5907752453697	5.34023391102293e-113	3.30847028229009e-110	Ctnna2
ENSMUSG00000031824.15	2508.95486296758	6.792104448722	0.256659635454321	22.5672589243307	9.09097657107698e-113	5.49809275909348e-110	AC163442.1
ENSMUSG00000059146.12	6021.67280932284	11.1015825939631	0.450468654835195	22.4246070964889	2.26486361810949e-111	1.33790234333952e-108	Ntrk3
ENSMUSG00000027577.14	5226.82308542981	6.4824084071428	0.244666255522122	22.4077014439251	3.31091789533057e-111	1.91137785134754e-108	Chrna4
ENSMUSG00000024304.14	17306.1015590995	7.5533899195132	0.292855126863955	22.3775830380376	6.50776350985025e-111	3.67341557586014e-108	Cdh2
ENSMUSG00000048385.9	7571.95138710707	10.2420808335076	0.413420322046491	22.3551681924051	1.07545928706097e-110	5.93863942405121e-108	Scrt1
ENSMUSG00000036862.15	11503.1728117437	7.4260512090074	0.28814445930254	22.3014914968756	3.57388486723723e-110	1.93149467048283e-107	Dchs1
ENSMUSG00000041216.15	2620.85181071769	8.84269805742465	0.353642305000985	22.1769226885986	5.73712686143834e-109	3.0360158209874e-106	Clvs1
ENSMUSG00000048763.11	12839.1695153078	10.0566883574517	0.409076755143386	22.1393375291569	1.32164831734555e-108	6.85126304263147e-106	Hoxb3
ENSMUSG00000025529.14	2712.96604130118	6.80692866257872	0.263102683414754	22.0709594718375	6.01025737607758e-108	3.05333095219493e-105	Zfp711
ENSMUSG00000069227.4	6882.58668021312	9.39632627355655	0.381088721134377	22.0324712013607	1.4068499432823e-107	7.00694027633604e-105	Gprin1
ENSMUSG00000106847.1	8022.55103473386	7.13292292239147	0.27860952059031	22.0126107298746	2.18066377157941e-107	1.06521231657478e-104	Peg13
ENSMUSG00000056648.5	17553.5844669884	11.7185170133187	0.487864305590518	21.9702833154494	5.54217624971237e-107	2.65616639469705e-104	Hoxb8
ENSMUSG00000047085.14	6418.16985963798	9.4797584532605	0.386677173276672	21.9298139101507	1.34978281147821e-106	6.34922836932555e-104	Lrrc4b
ENSMUSG00000029126.7	18942.3595368542	8.14378134919554	0.325999311023193	21.9134860339852	1.93212309196499e-106	8.92324702890958e-104	Nsg1
ENSMUSG00000055435.6	1562.01823371344	6.0020000809146	0.229178964537821	21.8257381998474	1.32186176028314e-105	5.99582331659859e-103	Maf
ENSMUSG00000060257.2	10102.0894770344	11.3030930173296	0.472906185172814	21.7867588548553	3.09817907157332e-105	1.38064643152691e-102	Scrt2
