GeneID	2_NPC_DMSO	2a_NPC_EPZ	4_NPC_DMSO	4a_NPC_EPZ	5_NPC_DMSO	5a_NPC_EPZ
ENSMUSG00000000001.4	14824	16260	14854	17191	12540	14668
ENSMUSG00000000003.15	0	0	0	1	0	0
ENSMUSG00000000028.15	1228	1410	1764	1797	853	884
ENSMUSG00000000031.16	37673	45830	37950	51489	6254	7321
ENSMUSG00000000037.16	497	513	275	349	114	158
ENSMUSG00000000049.11	2	3	5	7	3	3
ENSMUSG00000000056.7	9138	10346	7905	8709	10178	12749
ENSMUSG00000000058.6	24	34	26	38	9	25
ENSMUSG00000000078.7	7562	8418	9582	12195	5477	6075
ENSMUSG00000000085.16	5058	5934	4992	6207	4863	5385
ENSMUSG00000000088.7	9171	14603	11103	19167	12285	11562
ENSMUSG00000000093.6	1563	1815	1393	1852	358	301
ENSMUSG00000000094.12	59	64	46	37	13	14
ENSMUSG00000000103.12	11	8	4	1	1	1
ENSMUSG00000000120.6	3759	4734	4325	6420	5303	5493
ENSMUSG00000000125.5	653	687	522	525	225	282
ENSMUSG00000000126.11	186	215	210	302	111	138
ENSMUSG00000000127.14	2682	2661	2301	2645	1780	2128
ENSMUSG00000000131.15	11508	14403	11759	15548	9646	11207
ENSMUSG00000000134.17	3972	4584	4338	5284	3278	3614
ENSMUSG00000000142.15	4408	4838	3849	4348	2529	2687
ENSMUSG00000000148.17	2021	2182	1979	2342	1840	1754
ENSMUSG00000000149.10	8774	10327	8007	10065	7556	8988
ENSMUSG00000000154.16	57	84	131	160	54	64
ENSMUSG00000000157.15	7	11	3	4	1	4
ENSMUSG00000000159.15	1	4	3	3	0	4
ENSMUSG00000000167.14	183	217	190	214	176	178
ENSMUSG00000000168.9	4620	5301	4736	5671	4189	4734
ENSMUSG00000000171.5	7310	8916	7498	9238	6044	7217
ENSMUSG00000000182.9	7	20	12	32	5	14
ENSMUSG00000000183.6	0	1	1	2	1	0
ENSMUSG00000000184.12	17052	16084	23815	25755	10566	11941
ENSMUSG00000000194.13	7211	8096	7732	9421	5744	6975
ENSMUSG00000000197.8	1719	2270	1037	1705	814	1094
ENSMUSG00000000202.9	2005	2812	2426	2586	3135	3721
ENSMUSG00000000204.16	13	14	11	12	0	1
ENSMUSG00000000214.11	101	185	121	87	74	225
ENSMUSG00000000215.11	2	1	1	0	3	1
ENSMUSG00000000216.8	1	5	7	11	1	0
ENSMUSG00000000223.13	1746	2035	1074	1520	865	1097
ENSMUSG00000000244.17	6	10	8	12	5	3
ENSMUSG00000000247.11	73	121	102	169	80	150
ENSMUSG00000000248.16	0	0	2	2	0	0
ENSMUSG00000000253.13	622	1017	448	822	301	540
ENSMUSG00000000263.15	646	501	381	221	547	514
ENSMUSG00000000266.11	1811	1870	1335	1793	1378	1796
ENSMUSG00000000275.16	1940	2061	2661	2779	475	448
ENSMUSG00000000276.11	6066	6814	4710	6132	3896	4907
ENSMUSG00000000278.10	3566	3858	5066	5581	1596	1977
ENSMUSG00000000282.12	6790	8562	5963	7995	5887	6929
ENSMUSG00000000290.13	4	3	25	23	4	1
ENSMUSG00000000295.13	1244	1484	1084	1219	651	828
ENSMUSG00000000296.8	630	855	271	325	95	119
ENSMUSG00000000301.16	162	258	201	212	93	128
ENSMUSG00000000303.12	4997	4700	9389	8343	1225	1176
ENSMUSG00000000305.12	9679	11535	5436	5987	4692	5893
ENSMUSG00000000308.14	1147	1400	913	1517	771	1190
ENSMUSG00000000317.11	222	253	215	248	96	132
ENSMUSG00000000318.16	4	2	2	9	0	2
ENSMUSG00000000320.10	12	11	6	17	7	5
ENSMUSG00000000325.16	12090	15174	12220	15022	14066	15366
ENSMUSG00000000326.13	1865	2460	2209	3217	1534	1947
ENSMUSG00000000339.14	4683	5548	4346	5818	4389	5196
ENSMUSG00000000340.10	2092	2050	1921	1897	1234	1416
ENSMUSG00000000346.9	8785	9828	8981	10418	8772	10021
ENSMUSG00000000355.13	5213	5872	4238	6806	4471	4813
ENSMUSG00000000359.3	15	18	9	30	0	2
ENSMUSG00000000365.9	1200	1028	641	609	153	170
ENSMUSG00000000374.8	9278	10469	7632	9915	7329	8453
ENSMUSG00000000378.15	4078	4965	4220	5920	3803	4436
ENSMUSG00000000381.10	0	0	0	0	0	0
ENSMUSG00000000384.15	4492	5665	4415	5629	3015	3441
ENSMUSG00000000385.8	567	652	3583	3119	118	131
ENSMUSG00000000386.15	3	8	2	2	0	0
ENSMUSG00000000392.17	283	363	503	786	269	407
ENSMUSG00000000394.15	0	1	1	6	0	2
ENSMUSG00000000399.10	6005	6871	5752	7977	4759	5597
ENSMUSG00000000402.2	562	620	99	143	79	114
ENSMUSG00000000409.14	620	904	527	778	330	528
ENSMUSG00000000411.7	0	2	0	1	0	2
ENSMUSG00000000416.16	6124	6545	3452	4809	3371	3633
ENSMUSG00000000420.15	6694	6979	7668	8536	5253	6129
ENSMUSG00000000435.1	0	1	0	0	0	0
ENSMUSG00000000439.9	3628	4066	2741	3672	2677	3058
ENSMUSG00000000440.12	111	187	670	953	146	159
ENSMUSG00000000441.17	19715	25306	19648	27540	17934	20345
ENSMUSG00000000486.13	686	780	915	1009	724	782
ENSMUSG00000000489.7	41	60	79	132	38	65
ENSMUSG00000000530.16	51	101	297	393	69	73
ENSMUSG00000000531.5	373	522	617	556	500	637
ENSMUSG00000000532.11	9397	10381	8012	10888	8958	10509
ENSMUSG00000000538.18	9563	11646	6624	9882	7190	8839
ENSMUSG00000000544.14	457	472	259	158	57	64
ENSMUSG00000000552.10	3796	4971	4002	5533	4422	5287
ENSMUSG00000000555.8	2701	2833	6653	7877	1158	1311
ENSMUSG00000000560.9	2442	3171	1438	2762	1111	1487
ENSMUSG00000000561.14	5122	6031	4819	5881	3912	4379
ENSMUSG00000000562.5	0	0	0	2	0	0
ENSMUSG00000000563.17	23631	27996	21236	31593	21206	24623
ENSMUSG00000000567.5	2046	2196	2612	1823	3901	3564
ENSMUSG00000000568.15	30486	34270	30145	35866	28689	32540
ENSMUSG00000000579.14	932	1378	763	1318	827	984
ENSMUSG00000000581.8	6280	6694	4769	7273	4869	5637
ENSMUSG00000000594.7	2127	2821	5066	6133	1244	1759
ENSMUSG00000000600.15	6775	7655	8046	10574	6300	6640
ENSMUSG00000000605.9	24453	27300	17038	25387	16306	19811
ENSMUSG00000000606.16	0	0	0	0	0	0
ENSMUSG00000000617.14	4	2	11	3	2	1
ENSMUSG00000000627.15	1644	2118	1213	1964	1269	1510
ENSMUSG00000000628.10	2490	2935	4496	3109	1453	1987
ENSMUSG00000000631.20	15506	17370	13887	17850	13731	15515
ENSMUSG00000000632.13	16594	21591	11073	18487	11642	14157
ENSMUSG00000000673.8	3	9	4	17	3	2
ENSMUSG00000000682.7	1	3	4	4	0	0
ENSMUSG00000000686.11	91	111	117	167	85	119
ENSMUSG00000000690.5	13614	17791	11118	18034	20086	23866
ENSMUSG00000000693.10	641	695	641	866	265	400
ENSMUSG00000000701.8	0	0	0	0	0	0
ENSMUSG00000000706.16	21	24	71	66	4	4
ENSMUSG00000000708.14	2628	2721	2496	2857	1951	2207
ENSMUSG00000000711.3	8846	10305	7648	9490	7406	8362
ENSMUSG00000000724.10	9	4	12	7	9	16
ENSMUSG00000000730.13	3491	3895	1696	1235	568	629
ENSMUSG00000000731.15	242	275	214	76	55	80
ENSMUSG00000000732.9	583	664	479	557	131	150
ENSMUSG00000000738.18	5581	7148	7479	10030	4776	5452
ENSMUSG00000000739.14	23	37	9	25	6	9
ENSMUSG00000000740.12	28670	44457	35120	50502	21743	23398
ENSMUSG00000000743.9	9969	12397	9730	12976	7570	8587
ENSMUSG00000000751.13	7818	9269	7279	8215	4103	4462
ENSMUSG00000000753.15	1539	1631	1066	1544	347	448
ENSMUSG00000000759.14	6351	7280	7571	9673	4661	5166
