GeneID	mESC_DMSO_rep1	mESC_DMSO_rep2	mESC_DMSO_rep3	mESC_EPZ_rep1	mESC_EPZ_rep2	mESC_EPZ_rep3
ENSMUSG00000000001.4	20110	12401	17546	22724	13279	23301
ENSMUSG00000000003.15	0	0	0	0	0	0
ENSMUSG00000000028.15	4601	3898	3437	4762	3650	3766
ENSMUSG00000000031.16	54215	39027	54531	74375	43209	81606
ENSMUSG00000000037.16	739	375	1004	889	412	1736
ENSMUSG00000000049.11	1	1	0	0	0	0
ENSMUSG00000000056.7	1340	1293	1189	1288	1197	1583
ENSMUSG00000000058.6	572	348	603	1000	414	1279
ENSMUSG00000000078.7	16274	8129	19122	19863	8996	24819
ENSMUSG00000000085.16	2502	1859	2062	2474	1651	2532
ENSMUSG00000000088.7	23979	20828	15122	23892	17387	19293
ENSMUSG00000000093.6	46	41	51	61	37	45
ENSMUSG00000000094.12	166	80	80	209	103	144
ENSMUSG00000000103.12	1	4	0	1	1	1
ENSMUSG00000000120.6	297	423	212	281	481	236
ENSMUSG00000000125.5	1670	428	3125	2096	511	3960
ENSMUSG00000000126.11	2846	915	3187	3011	957	3444
ENSMUSG00000000127.14	1922	1504	1491	2017	1604	1853
ENSMUSG00000000131.15	12103	9578	10145	12559	9819	12044
ENSMUSG00000000134.17	9229	8050	7263	9931	7844	8990
ENSMUSG00000000142.15	703	398	860	1067	462	1516
ENSMUSG00000000148.17	2204	1690	1770	2316	1583	2084
ENSMUSG00000000149.10	5941	4339	5020	6111	4202	5674
ENSMUSG00000000154.16	1009	775	686	1025	661	957
ENSMUSG00000000157.15	0	0	0	1	0	0
ENSMUSG00000000159.15	2	1	0	5	4	2
ENSMUSG00000000167.14	188	82	219	236	108	312
ENSMUSG00000000168.9	8952	6242	7708	9173	6375	9385
ENSMUSG00000000171.5	15164	11563	12610	17889	11414	17088
ENSMUSG00000000182.9	19	12	16	37	13	21
ENSMUSG00000000183.6	1	2	0	4	1	0
ENSMUSG00000000184.12	1198	491	788	1587	692	1195
ENSMUSG00000000194.13	11922	7702	11625	11803	6391	13327
ENSMUSG00000000197.8	48	70	35	43	88	41
ENSMUSG00000000202.9	99	95	118	114	107	151
ENSMUSG00000000204.16	6	7	4	12	10	9
ENSMUSG00000000214.11	3	8	3	4	5	1
ENSMUSG00000000215.11	4	1	3	4	3	5
ENSMUSG00000000216.8	15	7	6	1	16	5
ENSMUSG00000000223.13	93	93	91	114	104	105
ENSMUSG00000000244.17	57	72	20	44	73	63
ENSMUSG00000000247.11	45	39	44	67	63	53
ENSMUSG00000000248.16	0	0	0	1	2	2
ENSMUSG00000000253.13	932	650	683	1389	749	1105
ENSMUSG00000000263.15	0	0	0	0	0	0
ENSMUSG00000000266.11	382	174	571	505	194	727
ENSMUSG00000000275.16	6428	6917	4585	6494	5937	6209
ENSMUSG00000000276.11	3945	3841	2732	3723	3251	3085
ENSMUSG00000000278.10	34152	25946	30170	38641	19517	44011
ENSMUSG00000000282.12	3582	3093	3275	3739	2929	3817
ENSMUSG00000000290.13	136	37	139	189	40	242
ENSMUSG00000000295.13	1948	1864	1332	2165	1764	1873
ENSMUSG00000000296.8	1166	951	858	1387	957	1316
ENSMUSG00000000301.16	391	350	258	375	307	332
ENSMUSG00000000303.12	94685	63340	105126	77804	49588	99643
ENSMUSG00000000305.12	289	326	258	246	351	286
ENSMUSG00000000308.14	1984	1356	1673	2434	1248	2635
ENSMUSG00000000317.11	304	462	240	295	467	325
ENSMUSG00000000318.16	0	0	0	2	0	0
ENSMUSG00000000320.10	177	105	158	276	148	275
ENSMUSG00000000325.16	7022	4565	5935	8291	4553	7244
ENSMUSG00000000326.13	2562	1710	2525	2908	1638	3177
ENSMUSG00000000339.14	4536	2960	3687	4959	3081	4647
ENSMUSG00000000340.10	3530	3142	2542	3270	2502	2877
ENSMUSG00000000346.9	8131	6066	6236	8598	5987	7851
ENSMUSG00000000355.13	4396	2910	3802	4559	2725	5130
ENSMUSG00000000359.3	79	45	91	164	44	166
ENSMUSG00000000365.9	7060	5718	3506	6181	4395	4008
ENSMUSG00000000374.8	3626	2778	2818	3751	2680	3508
ENSMUSG00000000378.15	3672	2473	3233	4111	2508	4384
ENSMUSG00000000381.10	0	0	0	0	0	0
ENSMUSG00000000384.15	8128	6700	6177	8473	6534	7593
ENSMUSG00000000385.8	1524	1055	2916	2597	1186	4543
ENSMUSG00000000386.15	11	11	5	16	7	10
ENSMUSG00000000392.17	31	8	19	25	6	10
ENSMUSG00000000394.15	0	0	0	0	0	1
ENSMUSG00000000399.10	7914	6381	6343	8276	5943	8185
ENSMUSG00000000402.2	92	126	78	118	183	142
ENSMUSG00000000409.14	1067	1173	822	1333	1249	1095
ENSMUSG00000000411.7	27	15	24	27	19	45
ENSMUSG00000000416.16	50	61	62	56	68	111
ENSMUSG00000000420.15	17585	12951	14152	15605	10809	15632
ENSMUSG00000000435.1	0	1	0	0	3	0
ENSMUSG00000000439.9	4157	3209	3008	4601	3123	3877
ENSMUSG00000000440.12	131	147	127	122	130	148
ENSMUSG00000000441.17	10826	8749	8484	10519	7848	9496
ENSMUSG00000000486.13	12083	14325	4473	10026	10203	4403
ENSMUSG00000000489.7	4173	2135	6187	4234	2096	6809
ENSMUSG00000000530.16	423	348	451	698	377	879
ENSMUSG00000000531.5	1155	1081	625	1310	1081	923
ENSMUSG00000000532.11	6745	5016	5978	5741	3998	6323
ENSMUSG00000000538.18	1119	861	1093	1234	721	1294
ENSMUSG00000000544.14	8401	9843	3598	5895	7105	3481
ENSMUSG00000000552.10	3175	1863	2621	4029	1954	3660
ENSMUSG00000000555.8	16872	9037	18772	16516	8272	19655
ENSMUSG00000000560.9	6	26	15	10	18	23
ENSMUSG00000000561.14	11475	9888	7744	11871	9078	10069
ENSMUSG00000000562.5	0	0	0	0	0	0
ENSMUSG00000000563.17	29719	25429	22053	33516	23909	30493
ENSMUSG00000000567.5	37	31	47	60	24	65
ENSMUSG00000000568.15	28184	25074	20971	28470	24424	25116
ENSMUSG00000000579.14	883	715	710	879	752	818
ENSMUSG00000000581.8	5021	3265	4260	5127	3017	5404
ENSMUSG00000000594.7	8501	9284	6055	8220	7514	7274
ENSMUSG00000000600.15	6083	4071	5496	5926	3695	6117
ENSMUSG00000000605.9	2789	2113	2986	2619	1911	3600
ENSMUSG00000000606.16	0	0	0	0	0	0
ENSMUSG00000000617.14	4	20	22	10	36	15
ENSMUSG00000000627.15	700	635	463	713	597	598
ENSMUSG00000000628.10	13800	14489	10648	12929	15105	11122
ENSMUSG00000000631.20	9612	7212	9692	9336	6394	10315
ENSMUSG00000000632.13	269	454	168	214	370	156
ENSMUSG00000000673.8	40	20	28	43	38	55
ENSMUSG00000000682.7	11	25	13	19	29	15
ENSMUSG00000000686.11	23	35	29	23	23	22
ENSMUSG00000000690.5	13	10	7	16	7	15
ENSMUSG00000000693.10	969	422	844	895	499	950
ENSMUSG00000000701.8	0	0	0	0	0	0
ENSMUSG00000000706.16	15	10	31	26	33	49
ENSMUSG00000000708.14	2061	2316	1465	1806	2244	1665
ENSMUSG00000000711.3	7759	5541	7302	8909	5254	9564
ENSMUSG00000000724.10	7	16	1	3	11	3
ENSMUSG00000000730.13	22080	27258	8238	20626	25675	10143
ENSMUSG00000000731.15	4390	10012	1355	3275	7343	1225
ENSMUSG00000000732.9	4010	4153	3237	3805	3325	3628
ENSMUSG00000000738.18	8741	8291	9211	7619	7222	9550
ENSMUSG00000000739.14	240	151	172	313	181	316
ENSMUSG00000000740.12	139187	109086	105892	151257	95977	131598
ENSMUSG00000000743.9	9015	6905	7912	10898	6956	10911
ENSMUSG00000000751.13	13641	12133	9220	13727	11261	10959
ENSMUSG00000000753.15	1354	620	893	1239	757	898
ENSMUSG00000000759.14	4804	4151	4109	4688	3800	4996
ENSMUSG00000000766.18	1	0	1	0	1	0
ENSMUSG00000000776.13	4603	3061	3616	5074	3154	4185
ENSMUSG00000000782.15	9623	6080	7564	10026	6207	9148
ENSMUSG00000000787.12	54468	41624	42364	56466	44614	51491
ENSMUSG00000000791.9	213	137	249	200	131	262
ENSMUSG00000000792.2	2872	2074	4456	3034	1794	5202
ENSMUSG00000000794.9	147	78	190	191	127	205
ENSMUSG00000000804.14	5696	4286	4690	5412	3961	5606
ENSMUSG00000000805.18	56471	17740	72325	42187	13078	56432
ENSMUSG00000000811.13	707	730	409	640	690	493
ENSMUSG00000000817.10	7	1	2	1	0	4
ENSMUSG00000000823.16	3398	3054	3235	3616	2874	3852
ENSMUSG00000000826.16	9798	6732	8960	10122	6580	10808
ENSMUSG00000000827.18	13908	9733	11795	15115	9222	15016
ENSMUSG00000000838.17	11808	9837	8966	11020	9095	10246
ENSMUSG00000000861.15	58	36	57	37	51	68
ENSMUSG00000000869.12	0	1	0	0	1	1
ENSMUSG00000000876.11	1119	811	912	1228	710	1240
ENSMUSG00000000881.12	4656	3013	4373	4199	2543	4726
ENSMUSG00000000884.17	1444	898	1053	1679	836	1379
ENSMUSG00000000889.8	0	0	0	0	0	0
ENSMUSG00000000901.17	4056	3870	3911	3416	3246	3783
ENSMUSG00000000902.13	12769	8887	10356	13488	8600	12729
ENSMUSG00000000903.3	20	35	9	16	18	10
ENSMUSG00000000915.15	4705	3896	4657	4501	3375	4960
ENSMUSG00000000916.15	2003	1880	1507	2053	1704	1681
ENSMUSG00000000934.9	988	729	706	1022	713	951
ENSMUSG00000000938.11	3	4	1	13	6	8
ENSMUSG00000000942.10	9	7	3	15	11	6
ENSMUSG00000000948.16	3585	3297	3940	2495	3108	3371
ENSMUSG00000000957.11	9061	4162	11977	9071	3744	12593
ENSMUSG00000000958.10	2999	4928	3408	1937	4271	2398
ENSMUSG00000000959.7	9328	6744	8207	9210	6252	8986
ENSMUSG00000000976.13	3657	2528	3150	3566	2525	3772
ENSMUSG00000000982.5	3	0	4	2	4	7
ENSMUSG00000000983.13	0	0	0	0	0	0
ENSMUSG00000001014.6	145	169	100	130	153	101
ENSMUSG00000001016.12	26500	19411	18901	28414	18442	23121
ENSMUSG00000001017.15	21176	15842	16096	22477	14192	19267
ENSMUSG00000001018.15	6447	4247	5321	6929	4219	7160
ENSMUSG00000001020.8	15	10	6	12	11	16
ENSMUSG00000001021.12	65	32	107	91	39	135
ENSMUSG00000001023.10	0	3	2	0	0	1
ENSMUSG00000001025.8	13349	7190	14435	19511	8532	28107
ENSMUSG00000001027.7	12	5	10	8	5	10
ENSMUSG00000001029.15	0	2	0	3	0	0
ENSMUSG00000001034.17	5369	3569	5236	6268	3462	6436
ENSMUSG00000001036.17	7940	5021	7945	9185	4727	10242
ENSMUSG00000001039.12	1980	1305	1779	2310	1139	2395
ENSMUSG00000001052.15	6541	4161	6188	7275	4036	7802
ENSMUSG00000001053.15	3131	3281	1847	3158	2873	2003
ENSMUSG00000001054.9	2693	2727	1859	2608	2395	2061
ENSMUSG00000001056.3	16131	14598	10754	18483	14524	14178
ENSMUSG00000001062.18	1214	1061	1185	1332	920	1355
ENSMUSG00000001065.15	1531	1147	1417	1728	1052	1659
ENSMUSG00000001076.7	75	106	46	71	102	77
ENSMUSG00000001082.12	10314	7528	10366	9869	6510	11118
ENSMUSG00000001089.14	11675	7375	9458	12197	7038	11425
ENSMUSG00000001095.5	3	4	2	3	2	5
ENSMUSG00000001098.15	13970	6133	15282	18185	6625	20273
ENSMUSG00000001100.10	8104	6569	5697	9075	6226	7569
ENSMUSG00000001103.7	1	0	0	0	0	0
ENSMUSG00000001105.15	2488	1922	1981	2675	1723	2624
ENSMUSG00000001119.7	1999	674	1721	2531	749	2762
ENSMUSG00000001120.15	2034	1683	1714	2076	1659	2009
ENSMUSG00000001123.15	716	767	599	793	797	903
ENSMUSG00000001127.12	10824	7468	10458	10791	6497	12240
ENSMUSG00000001128.7	698	588	592	627	467	662
ENSMUSG00000001131.11	2658	2593	1789	2643	2138	2312
ENSMUSG00000001134.9	2226	1925	1528	2310	1669	2171
ENSMUSG00000001138.13	5935	3922	6109	4829	3350	6112
ENSMUSG00000001143.13	3907	2546	3606	3369	2264	3735
ENSMUSG00000001150.7	9372	6466	6695	9219	6183	7722
ENSMUSG00000001151.10	8936	7832	6670	7518	6750	7287
ENSMUSG00000001155.13	13	7	3	17	14	7
ENSMUSG00000001156.9	635	505	484	704	503	611
ENSMUSG00000001157.13	3771	3154	2809	3780	2737	3306
ENSMUSG00000001158.13	5995	3929	4388	6493	3777	5636
ENSMUSG00000001166.17	349	351	323	419	303	450
ENSMUSG00000001168.16	10	7	1	7	5	0
ENSMUSG00000001173.15	5009	3162	4206	5106	3044	5278
ENSMUSG00000001175.14	27729	20997	24930	34058	22141	36546
ENSMUSG00000001211.15	10358	6403	12449	9086	5438	12144
ENSMUSG00000001225.12	1	2	2	0	0	0
ENSMUSG00000001227.11	791	684	770	870	666	1053
ENSMUSG00000001228.14	25238	23490	19062	25805	22932	22198
ENSMUSG00000001229.8	4590	2907	4110	5233	3030	4869
ENSMUSG00000001240.13	460	342	437	357	284	463
ENSMUSG00000001247.16	9291	7480	10237	8816	6305	10546
ENSMUSG00000001248.15	10986	9604	9701	11652	8447	11963
ENSMUSG00000001249.14	4868	4161	5234	4955	3843	6290
ENSMUSG00000001260.10	0	17	3	3	6	3
ENSMUSG00000001270.9	30871	27110	19003	27045	20652	17350
ENSMUSG00000001280.13	16194	14585	12689	15335	14101	14991
ENSMUSG00000001281.10	521	871	270	514	679	338
ENSMUSG00000001285.12	2814	2586	2345	3061	2248	2617
ENSMUSG00000001288.15	5831	3443	6263	6578	3278	6948
ENSMUSG00000001289.12	10458	7501	8392	11852	5910	11245
ENSMUSG00000001300.16	6582	3354	7997	4743	2987	6226
ENSMUSG00000001305.5	4491	3947	3058	4896	4038	3984
ENSMUSG00000001313.12	1580	1546	1446	1766	1522	1718
ENSMUSG00000001323.17	828	564	820	923	445	1097
ENSMUSG00000001333.9	206	152	149	254	160	223
ENSMUSG00000001334.9	675	282	768	814	313	855
ENSMUSG00000001348.15	1302	1916	827	1191	1541	923
ENSMUSG00000001349.5	2597	538	2207	2538	851	2004
ENSMUSG00000001366.14	1508	1154	1214	1618	1209	1568
ENSMUSG00000001376.17	3154	2789	2404	2939	2450	2655
ENSMUSG00000001380.6	6870	5116	5097	7232	5062	6429
ENSMUSG00000001383.8	9478	6401	7513	9681	6165	9562
ENSMUSG00000001403.13	26104	15223	20912	31458	16472	27702
ENSMUSG00000001415.10	11089	9077	8683	11626	9026	10022
ENSMUSG00000001416.13	68944	55386	47741	76304	55839	59371
ENSMUSG00000001418.13	9453	8085	8758	8985	6690	9519
ENSMUSG00000001419.17	7589	6330	7515	8419	6124	9269
ENSMUSG00000001420.13	1824	1420	1910	1781	1340	2138
ENSMUSG00000001424.14	27300	20680	21654	28403	19194	27143
ENSMUSG00000001435.15	128605	60913	141769	129527	51945	151748
ENSMUSG00000001436.15	2386	1802	2227	2013	1495	2155
ENSMUSG00000001440.5	65828	51288	54610	69345	52766	68338
ENSMUSG00000001441.13	22186	18648	18485	22818	16893	22929
ENSMUSG00000001444.2	17	20	16	30	35	32
ENSMUSG00000001445.10	7947	5840	6352	9282	5851	8852
ENSMUSG00000001467.5	19990	16659	21614	16755	13626	21104
ENSMUSG00000001472.17	15817	12499	14646	16926	12959	18663
ENSMUSG00000001473.6	24499	9984	23755	28791	11879	30365
ENSMUSG00000001482.15	10260	9174	6902	10918	8689	9029
ENSMUSG00000001493.9	12	12	4	31	19	24
ENSMUSG00000001494.6	18	40	17	9	38	7
ENSMUSG00000001496.15	1	1	1	0	0	0
ENSMUSG00000001497.18	14	7	9	27	10	10
ENSMUSG00000001504.10	498	351	315	527	357	428
ENSMUSG00000001506.10	7790	3283	5177	8702	4844	7855
ENSMUSG00000001507.16	35828	17081	41930	35086	16355	41649
ENSMUSG00000001508.15	40	14	30	58	17	66
ENSMUSG00000001510.8	1277	528	1397	2549	681	2967
ENSMUSG00000001517.14	11133	7006	10238	11206	6592	11717
ENSMUSG00000001518.12	2220	1698	1713	2366	1549	1992
ENSMUSG00000001520.12	13	9	7	12	11	13
ENSMUSG00000001521.12	7260	4816	6072	7453	4656	6771
ENSMUSG00000001524.14	3806	2968	3017	4300	2812	3767
ENSMUSG00000001525.10	199279	140928	175099	212503	136205	211232
ENSMUSG00000001542.7	3018	2846	2334	2608	2577	2549
ENSMUSG00000001552.14	16401	10374	15696	21069	10794	21198
ENSMUSG00000001555.10	6248	2407	7766	7661	2647	9443
ENSMUSG00000001558.5	170	91	132	184	88	176
ENSMUSG00000001566.9	104	44	90	102	90	81
ENSMUSG00000001569.10	3766	2999	3122	4020	3027	3866
ENSMUSG00000001576.14	26474	22423	23290	24035	18081	23933
ENSMUSG00000001583.13	2654	1805	2465	3027	1852	3226
ENSMUSG00000001588.12	371	515	275	409	447	342
ENSMUSG00000001604.14	3401	2365	3114	3302	2118	3615
ENSMUSG00000001622.15	208	155	279	251	199	306
ENSMUSG00000001627.12	5294	4509	3827	6116	4117	5089
ENSMUSG00000001630.13	2927	2345	2213	2806	2203	2321
ENSMUSG00000001632.16	4861	3917	3908	5157	3901	4530
ENSMUSG00000001642.18	10572	9521	7391	11806	10464	9120
ENSMUSG00000001655.6	364	215	196	445	171	322
ENSMUSG00000001656.3	0	2	1	3	0	1
ENSMUSG00000001657.7	44	15	28	38	21	22
ENSMUSG00000001661.5	45	12	39	42	16	31
ENSMUSG00000001663.10	1200	437	1132	1377	516	1431
ENSMUSG00000001665.11	724	503	717	825	531	1022
ENSMUSG00000001666.8	2337	1998	1740	2520	1705	1944
ENSMUSG00000001670.13	4	3	2	6	3	4
ENSMUSG00000001672.14	1240	858	1440	1077	874	1598
ENSMUSG00000001674.11	10811	9421	7854	12217	9862	9849
ENSMUSG00000001687.15	6168	5385	4490	6502	4653	5871
ENSMUSG00000001700.9	2318	1634	1992	2546	1691	2596
ENSMUSG00000001707.8	9769	8465	5999	11427	8428	8369
ENSMUSG00000001729.14	9885	7543	9346	12204	7718	12663
ENSMUSG00000001739.14	44	22	53	54	15	44
ENSMUSG00000001741.12	0	0	1	0	0	0
ENSMUSG00000001750.15	4947	3020	5615	5178	2821	6265
ENSMUSG00000001751.9	2889	1500	3404	2933	1301	3490
ENSMUSG00000001755.12	4488	3386	3912	4643	3063	4502
ENSMUSG00000001761.7	9439	4527	12140	8093	4326	11436
ENSMUSG00000001763.14	1750	1140	1946	1362	913	1542
ENSMUSG00000001767.5	4821	3467	3515	5065	3319	4600
ENSMUSG00000001768.16	1343	501	1616	1415	641	1815
ENSMUSG00000001773.14	2	6	3	11	18	11
ENSMUSG00000001774.8	10072	8316	8175	9536	7376	9778
ENSMUSG00000001783.3	14420	9752	12133	16727	10222	16222
ENSMUSG00000001785.13	7834	6138	5555	9123	6643	7402
ENSMUSG00000001786.14	2493	2318	1967	2076	1812	2107
ENSMUSG00000001794.13	35552	26410	24548	39597	24980	32524
ENSMUSG00000001802.16	1663	1236	1551	1524	1339	1620
ENSMUSG00000001804.9	0	0	3	0	1	1
ENSMUSG00000001815.15	0	0	0	0	0	0
ENSMUSG00000001819.4	21	35	14	28	50	26
ENSMUSG00000001823.5	1	1	0	1	0	0
ENSMUSG00000001827.12	3279	2453	3186	3038	2017	3237
ENSMUSG00000001829.17	12997	10801	10567	11049	8710	11129
ENSMUSG00000001833.17	21684	13295	21404	24006	12577	27625
ENSMUSG00000001844.10	1997	1641	1536	2001	1332	1777
ENSMUSG00000001847.14	25811	16090	23744	30225	15956	32050
ENSMUSG00000001855.15	7712	6295	5778	8186	6185	7299
ENSMUSG00000001864.13	5910	3068	4419	6754	2796	6009
ENSMUSG00000001865.2	0	0	1	0	0	0
ENSMUSG00000001870.15	2763	1935	3465	1941	1641	2503
ENSMUSG00000001891.16	3593	3359	2736	3791	3003	3447
ENSMUSG00000001901.15	55	94	31	57	94	31
ENSMUSG00000001909.16	6766	6413	6193	6439	5475	6743
ENSMUSG00000001910.4	15738	12790	13797	16744	12978	16355
ENSMUSG00000001911.16	88	55	88	108	66	97
ENSMUSG00000001918.17	22026	23200	18366	18978	20128	18826
ENSMUSG00000001924.15	36597	28408	29811	41809	28621	39447
ENSMUSG00000001930.17	537	776	185	469	569	228
ENSMUSG00000001942.8	2049	1781	1939	1806	1502	1966
ENSMUSG00000001943.8	55	91	26	62	83	31
ENSMUSG00000001946.14	318	337	217	266	317	211
ENSMUSG00000001948.10	379	191	256	394	187	351
ENSMUSG00000001962.8	5946	4426	4626	6454	4136	5674
ENSMUSG00000001964.14	13807	7361	10872	16023	7252	15243
ENSMUSG00000001983.7	619	504	511	823	501	720
ENSMUSG00000001985.9	1730	1678	1831	1853	1433	2237
ENSMUSG00000001986.16	2015	472	2578	2098	551	2567
ENSMUSG00000001988.9	139	64	202	157	100	233
